Movie Genre,Associated Music Genres
"Crime, Sci-Fi","reggae,ambient,dubstep,synth-pop,retro,synthwave,trap,drum-and-bass,space,grime,hip-hop,chill,electronic"
"Adventure, Comedy, Crime","acoustic,folk,ambient,reggae,dubstep,trap,drum-and-bass,grime,hip-hop,new-age,alternative,world-music,electronic,rock"
"Action, Crime, Thriller","punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
"Crime, Drama, Film-Noir","jazz,piano,funk,indie-pop,dubstep,singer-songwriter,grime,acoustic,reggae,trap,trumpet,electronic,saxophone,alternative,blues,jazz-noir,drum-and-bass,hip-hop,rock,indie,soul"
"Animation, Family, Adventure","acoustic,folk,ambient,children,pop,singer-songwriter,kids,world-music,new-age,alternative,upbeat,rock,fun"
"Comedy, Horror, Mystery","darkwave,chill,ambient,synthwave,downtempo,dark-ambient,noise,metal,trip-hop,electronic,industrial"
"Biography, Comedy, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
Action,"punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
"Comedy, Musical, Romance","folk,pop,romantic,singer-songwriter,dance,r-n-b,indie,musical-theatre,soul"
"Action, Comedy, Fantasy","folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,rock,metal,world-music,electronic"
"Drama, Horror, Thriller","acoustic,darkwave,piano,ambient,dubstep,metal,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,noise,alternative,dark-ambient,chill,electronic,indie,industrial"
"Musical, Romance","folk,pop,romantic,singer-songwriter,dance,r-n-b,indie,musical-theatre,soul"
Romance,"folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
"Horror, Mystery, Thriller","darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
"Drama, Family, Romance","acoustic,piano,folk,children,pop,romantic,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,r-n-b,indie,fun,soul"
"Crime, Thriller","reggae,ambient,dubstep,synthwave,trap,drum-and-bass,grime,hip-hop,dark-ambient,chill,electronic"
"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
"Comedy, Family, Romance","folk,children,pop,romantic,singer-songwriter,kids,upbeat,r-n-b,indie,fun,soul"
"Animation, Adventure, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
"Fantasy, Musical","indie,folk,ambient,pop,soundtrack,epic-fantasy,singer-songwriter,alternative,dance,world-music,r-n-b,rock,musical-theatre,soul"
"Family, Fantasy","folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,alternative,upbeat,rock,fun"
"Biography, Comedy, Crime","acoustic,country,folk,reggae,dubstep,pop,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,electronic,indie"
"Comedy, Fantasy, Horror","darkwave,folk,ambient,metal,soundtrack,epic-fantasy,noise,alternative,dark-ambient,world-music,electronic,rock,industrial"
"Adventure, Romance","acoustic,indie,folk,ambient,romantic,pop,singer-songwriter,new-age,alternative,world-music,r-n-b,rock,soul"
"Comedy, Fantasy","folk,ambient,soundtrack,epic-fantasy,alternative,world-music,rock"
"Animation, Comedy, Family","folk,children,pop,singer-songwriter,kids,upbeat,fun"
"Horror, Sci-Fi","darkwave,ambient,synth-pop,retro,synthwave,space,dark-ambient,noise,metal,chill,electronic,industrial"
"Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
"Drama, Thriller","acoustic,piano,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
"Action, Comedy, Horror","darkwave,punk,ambient,dubstep,hard-rock,drum-and-bass,dark-ambient,noise,rock,metal,electronic,industrial"
"Crime, Drama, Horror","piano,indie-pop,darkwave,dubstep,singer-songwriter,grime,noise,dark-ambient,acoustic,reggae,ambient,trap,metal,electronic,alternative,drum-and-bass,hip-hop,rock,indie,industrial"
"Crime, Drama, Fantasy","piano,epic-fantasy,soundtrack,indie-pop,folk,dubstep,singer-songwriter,grime,acoustic,reggae,ambient,trap,world-music,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
"Crime, Fantasy, Thriller","folk,reggae,ambient,dubstep,chill,epic-fantasy,soundtrack,synthwave,trap,drum-and-bass,grime,hip-hop,alternative,dark-ambient,world-music,electronic,rock"
"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
"Drama, Mystery, Thriller","acoustic,piano,chill,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,downtempo,drum-and-bass,alternative,dark-ambient,trip-hop,electronic,indie"
"Drama, Horror, Mystery","acoustic,darkwave,piano,ambient,chill,metal,singer-songwriter,synthwave,rock,indie-pop,downtempo,noise,alternative,dark-ambient,trip-hop,electronic,indie,industrial"
"Horror, Mystery, Sci-Fi","darkwave,chill,ambient,synth-pop,retro,synthwave,downtempo,space,dark-ambient,noise,metal,trip-hop,electronic,industrial"
"Drama, Fantasy","acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
"Comedy, Music, Romance","jazz,folk,funk,blues,pop,romantic,singer-songwriter,hip-hop,r-n-b,indie,soul"
"Action, Biography, Drama","acoustic,country,folk,punk,piano,dubstep,hard-rock,alternative,pop,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
"Adventure, Sci-Fi","acoustic,folk,ambient,chill,synth-pop,retro,synthwave,space,new-age,alternative,world-music,electronic,rock"
"Comedy, Drama, Musical","acoustic,piano,pop,singer-songwriter,rock,indie-pop,alternative,dance,r-n-b,indie,musical-theatre,soul"
"Horror, Mystery","darkwave,chill,ambient,synthwave,downtempo,dark-ambient,noise,metal,trip-hop,electronic,industrial"
"Biography, Drama, History","acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
"Adventure, Drama, Mystery","acoustic,indie,folk,ambient,piano,chill,trip-hop,singer-songwriter,synthwave,downtempo,indie-pop,new-age,alternative,dark-ambient,world-music,electronic,rock"
Thriller,"ambient,dubstep,synthwave,drum-and-bass,dark-ambient,chill,electronic"
"Drama, Mystery, Sci-Fi","acoustic,piano,chill,ambient,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,downtempo,space,alternative,dark-ambient,trip-hop,electronic,indie"
"Comedy, Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
"Comedy, Drama, Fantasy","acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
"Comedy, Drama, Music","acoustic,jazz,piano,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
"Adventure, Comedy, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
"Drama, Romance, War","acoustic,piano,folk,patriotic,punk,romantic,pop,singer-songwriter,soundtrack,rock,indie-pop,alternative,metal,world-music,r-n-b,indie,soul"
"Action, Comedy, War","punk,patriotic,dubstep,hard-rock,alternative,soundtrack,drum-and-bass,rock,metal,world-music,electronic"
"Adventure, Drama, Horror","acoustic,indie,folk,ambient,piano,darkwave,metal,singer-songwriter,indie-pop,noise,new-age,alternative,dark-ambient,world-music,electronic,rock,industrial"
"Adventure, Horror","acoustic,darkwave,folk,ambient,metal,noise,new-age,alternative,dark-ambient,world-music,electronic,rock,industrial"
"Adventure, Horror, Sci-Fi","acoustic,darkwave,folk,ambient,chill,metal,synth-pop,retro,synthwave,space,noise,new-age,alternative,dark-ambient,world-music,electronic,rock,industrial"
"Comedy, Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
"Action, Drama, Sci-Fi","piano,indie-pop,rock,dubstep,synth-pop,singer-songwriter,synthwave,retro,acoustic,ambient,hard-rock,space,metal,chill,electronic,punk,drum-and-bass,alternative,indie"
"Drama, Mystery","acoustic,piano,chill,ambient,singer-songwriter,synthwave,rock,indie-pop,downtempo,alternative,dark-ambient,trip-hop,electronic,indie"
"Drama, Romance, Thriller","piano,pop,indie-pop,folk,dubstep,singer-songwriter,synthwave,dark-ambient,acoustic,ambient,chill,electronic,alternative,romantic,drum-and-bass,rock,r-n-b,indie,soul"
"Drama, Horror, Sci-Fi","piano,indie-pop,darkwave,synth-pop,singer-songwriter,synthwave,retro,noise,dark-ambient,acoustic,ambient,space,metal,chill,electronic,alternative,rock,indie,industrial"
"Crime, Horror, Mystery","darkwave,chill,reggae,ambient,dubstep,metal,synthwave,trap,downtempo,drum-and-bass,grime,noise,hip-hop,dark-ambient,trip-hop,electronic,industrial"
"Action, Thriller","punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic"
"Biography, Comedy","acoustic,country,folk,pop,singer-songwriter,indie-pop,indie"
"Drama, History","acoustic,piano,ambient,classical,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
"Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
"Action, Drama, Thriller","acoustic,piano,punk,ambient,dubstep,hard-rock,alternative,singer-songwriter,synthwave,indie-pop,drum-and-bass,dark-ambient,rock,metal,chill,electronic,indie"
"Crime, Horror, Thriller","darkwave,reggae,ambient,dubstep,metal,synthwave,trap,drum-and-bass,grime,noise,hip-hop,dark-ambient,chill,electronic,industrial"
"Horror, Sci-Fi, Thriller","darkwave,ambient,dubstep,synth-pop,retro,synthwave,space,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
"Comedy, Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
"Action, Drama, Romance","acoustic,piano,punk,r-n-b,dubstep,hard-rock,alternative,folk,romantic,pop,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie,soul"
"Drama, War","acoustic,piano,punk,patriotic,soundtrack,singer-songwriter,rock,indie-pop,alternative,metal,world-music,indie"
"Drama, Mystery, Romance","piano,pop,downtempo,indie-pop,folk,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,chill,electronic,alternative,romantic,rock,r-n-b,indie,soul"
"Action, Western","acoustic,country,folk,punk,dubstep,hard-rock,bluegrass,blues,alternative,drum-and-bass,rock,metal,electronic"
"Adventure, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
"Comedy, Drama, Sport","acoustic,piano,edm,pop,singer-songwriter,rock,indie-pop,pump-up,hip-hop,alternative,dance,electronic,indie"
"Drama, Romance, Family","acoustic,piano,folk,children,romantic,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,r-n-b,indie,fun,soul"
"Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
"Action, Crime, Family","folk,punk,reggae,dubstep,hard-rock,children,pop,singer-songwriter,trap,kids,drum-and-bass,grime,hip-hop,rock,metal,upbeat,electronic,fun"
"Comedy, Drama, Sci-Fi","acoustic,piano,ambient,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,space,alternative,chill,electronic,indie"
"Adventure, Drama, Romance","acoustic,indie,folk,ambient,piano,romantic,pop,singer-songwriter,indie-pop,new-age,alternative,world-music,r-n-b,rock,soul"
"Fantasy, Horror, Thriller","darkwave,folk,ambient,chill,dubstep,metal,soundtrack,epic-fantasy,synthwave,drum-and-bass,noise,alternative,dark-ambient,world-music,electronic,rock,industrial"
"Comedy, Family, Music","jazz,folk,children,funk,blues,pop,singer-songwriter,kids,hip-hop,upbeat,r-n-b,fun,soul"
"Action, Comedy","punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
"Action, Drama, Sport","acoustic,piano,punk,edm,dubstep,hard-rock,alternative,dance,pop,singer-songwriter,indie-pop,drum-and-bass,pump-up,hip-hop,rock,metal,electronic,indie"
"Comedy, Sport","edm,pop,pump-up,hip-hop,rock,dance,electronic"
"Sci-Fi, Thriller","ambient,dubstep,synth-pop,retro,synthwave,space,drum-and-bass,dark-ambient,chill,electronic"
"Animation, Thriller","ambient,dubstep,synthwave,drum-and-bass,dark-ambient,chill,electronic"
"Drama, Film-Noir, Sport","jazz,piano,edm,funk,pop,indie-pop,pump-up,singer-songwriter,acoustic,trumpet,electronic,saxophone,alternative,blues,jazz-noir,hip-hop,rock,dance,indie,soul"
"Drama, Music, Romance","acoustic,jazz,piano,folk,funk,blues,pop,romantic,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
"Action, Comedy, Drama","acoustic,piano,punk,dubstep,hard-rock,alternative,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
"Mystery, Thriller","ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,chill,electronic,trip-hop"
"Drama, Mystery, Western","acoustic,country,piano,chill,ambient,folk,blues,bluegrass,singer-songwriter,synthwave,rock,indie-pop,downtempo,alternative,dark-ambient,trip-hop,electronic,indie"
"Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
"Action, Drama","acoustic,piano,punk,dubstep,hard-rock,alternative,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
"Drama, Fantasy, Mystery","acoustic,piano,folk,ambient,chill,trip-hop,epic-fantasy,singer-songwriter,soundtrack,synthwave,rock,indie-pop,downtempo,alternative,dark-ambient,world-music,electronic,indie"
"Drama, Romance, Sci-Fi","piano,pop,indie-pop,folk,synth-pop,singer-songwriter,synthwave,retro,acoustic,ambient,space,chill,electronic,alternative,romantic,rock,r-n-b,indie,soul"
"Action, Biography, Crime","acoustic,country,folk,punk,reggae,dubstep,hard-rock,pop,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
"Crime, Mystery, Thriller","chill,reggae,ambient,dubstep,synthwave,trap,downtempo,drum-and-bass,grime,hip-hop,dark-ambient,trip-hop,electronic"
"Comedy, Horror","darkwave,ambient,dark-ambient,noise,metal,electronic,industrial"
"Mystery, Sci-Fi, Thriller","ambient,dubstep,synth-pop,retro,synthwave,downtempo,space,drum-and-bass,dark-ambient,chill,electronic,trip-hop"
"Action, Sci-Fi, Thriller","punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,dark-ambient,rock,metal,chill,electronic"
Sci-Fi,"ambient,synth-pop,retro,synthwave,space,chill,electronic"
"Action, Adventure, Family","pop,upbeat,rock,folk,dubstep,singer-songwriter,kids,acoustic,ambient,hard-rock,new-age,metal,world-music,electronic,fun,punk,children,drum-and-bass,alternative"
"Drama, History, Thriller","piano,epic,indie-pop,opera,dubstep,singer-songwriter,synthwave,dark-ambient,acoustic,ambient,chill,world-music,classical,electronic,alternative,drum-and-bass,rock,symphony,indie"
"Horror, Musical, Sci-Fi","pop,darkwave,synth-pop,singer-songwriter,synthwave,retro,noise,dark-ambient,ambient,space,metal,chill,electronic,industrial,dance,r-n-b,indie,musical-theatre,soul"
"Drama, Horror, Romance","piano,pop,indie-pop,darkwave,folk,singer-songwriter,noise,dark-ambient,acoustic,ambient,metal,electronic,alternative,romantic,rock,r-n-b,indie,industrial,soul"
"Action, Crime, Sci-Fi","punk,reggae,dubstep,hard-rock,ambient,synth-pop,retro,synthwave,trap,drum-and-bass,space,grime,hip-hop,rock,metal,chill,electronic"
"Biography, Drama, Fantasy","acoustic,country,folk,piano,ambient,pop,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
"Comedy, Music, Musical","jazz,funk,blues,pop,singer-songwriter,hip-hop,dance,r-n-b,indie,musical-theatre,soul"
"Fantasy, Action, Comedy","folk,ambient,punk,dubstep,hard-rock,soundtrack,epic-fantasy,drum-and-bass,alternative,metal,world-music,electronic,rock"
"Action, Comedy, Family","folk,punk,dubstep,hard-rock,children,pop,singer-songwriter,kids,drum-and-bass,rock,metal,upbeat,electronic,fun"
"Action, Adventure, Crime","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,reggae,trap,drum-and-bass,grime,hip-hop,new-age,rock,metal,world-music,electronic"
"Comedy, Drama, History","acoustic,piano,ambient,classical,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
"Horror, Romance, Thriller","darkwave,folk,ambient,r-n-b,dubstep,romantic,pop,singer-songwriter,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,indie,industrial,soul"
"Comedy, Fantasy, Romance","indie,folk,ambient,romantic,soundtrack,epic-fantasy,pop,singer-songwriter,alternative,world-music,r-n-b,rock,soul"
"Action, Drama, Mystery","piano,downtempo,indie-pop,rock,dubstep,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,hard-rock,metal,chill,electronic,punk,drum-and-bass,alternative,indie"
"Drama, Sci-Fi","acoustic,piano,ambient,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,space,alternative,chill,electronic,indie"
"Comedy, Mystery","ambient,synthwave,downtempo,dark-ambient,chill,electronic,trip-hop"
"Comedy, Crime, Mystery","chill,reggae,ambient,dubstep,synthwave,trap,downtempo,drum-and-bass,grime,hip-hop,dark-ambient,trip-hop,electronic"
"Drama, Film-Noir, Mystery","jazz,piano,funk,downtempo,indie-pop,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,trumpet,chill,electronic,saxophone,alternative,blues,jazz-noir,rock,indie,soul"
"Biography, Drama, Romance","acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
"Action, Adventure, Horror","acoustic,darkwave,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,dark-ambient,noise,new-age,rock,metal,world-music,electronic,industrial"
"Comedy, Horror, Sci-Fi","darkwave,ambient,synth-pop,retro,synthwave,space,dark-ambient,noise,metal,chill,electronic,industrial"
"Crime, Horror","darkwave,reggae,ambient,dubstep,metal,trap,drum-and-bass,grime,noise,hip-hop,dark-ambient,electronic,industrial"
"Comedy, Crime, Thriller","reggae,ambient,dubstep,synthwave,trap,drum-and-bass,grime,hip-hop,dark-ambient,chill,electronic"
War,"punk,patriotic,alternative,soundtrack,rock,metal,world-music"
"Drama, Family, Musical","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,musical-theatre,alternative,dance,upbeat,r-n-b,indie,fun,soul"
Mystery,"ambient,synthwave,downtempo,dark-ambient,chill,electronic,trip-hop"
"Adventure, Comedy, Music","acoustic,jazz,folk,ambient,funk,blues,pop,hip-hop,new-age,alternative,world-music,r-n-b,rock,soul"
"Comedy, Family","folk,children,pop,singer-songwriter,kids,upbeat,fun"
"Animation, Comedy, Fantasy","folk,ambient,soundtrack,epic-fantasy,alternative,world-music,rock"
"Comedy, Romance, Sport","folk,edm,romantic,pop,singer-songwriter,electronic,pump-up,hip-hop,rock,dance,r-n-b,indie,soul"
"Drama, Thriller, War","piano,soundtrack,indie-pop,patriotic,dubstep,singer-songwriter,synthwave,dark-ambient,acoustic,ambient,metal,world-music,chill,electronic,punk,alternative,drum-and-bass,rock,indie"
"Drama, Crime","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
"Biography, Drama, Family","acoustic,country,folk,piano,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
"Comedy, Fantasy, Music","jazz,folk,ambient,funk,blues,pop,soundtrack,epic-fantasy,hip-hop,alternative,world-music,r-n-b,rock,soul"
"Action, Adventure, Thriller","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synthwave,drum-and-bass,dark-ambient,new-age,rock,metal,world-music,electronic"
"Adventure, Comedy, Musical","acoustic,indie,folk,ambient,pop,singer-songwriter,new-age,alternative,dance,world-music,r-n-b,rock,musical-theatre,soul"
"Crime, Drama, Musical","piano,pop,indie-pop,dubstep,singer-songwriter,grime,acoustic,reggae,trap,electronic,alternative,drum-and-bass,hip-hop,rock,dance,r-n-b,indie,musical-theatre,soul"
